symbol,status,reason,bar_time,signal,probability,confidence,spread_points,atr_pips,score
CADNOK,OK,,2026-03-12 00:00:00+00:00,SELL,0.21624061465263367,0.28375938534736633,0.0,141.47346843541735,2.2837593853473663
GBPNOK,OK,,2026-03-11 08:00:00+00:00,SELL,0.23017269372940063,0.26982730627059937,0.0,248.35458939395554,2.2698273062705994
AUDNOK,OK,,2026-03-12 00:00:00+00:00,SELL,0.24516546726226807,0.25483453273773193,0.0,181.9103717717713,2.254834532737732
EURDKK,OK,,2026-03-11 08:00:00+00:00,SELL,0.2468266487121582,0.2531733512878418,0.0,24.954278357574555,2.253173351287842
AUDSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.24753688275814056,0.25246311724185944,0.0,137.8062459489622,2.2524631172418594
GBPDKK,OK,,2026-03-11 08:00:00+00:00,SELL,0.24846069514751434,0.25153930485248566,0.0,57.43194516281204,2.2515393048524857
CHFSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.24878397583961487,0.25121602416038513,0.0,177.9911283724108,2.251216024160385
AUDJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.24791160225868225,0.25208839774131775,0.999999999990564,23.126752893768096,2.251088397741327
EURNOK,OK,,2026-03-11 08:00:00+00:00,SELL,0.25057265162467957,0.24942734837532043,0.0,208.9552611937853,2.2494273483753204
USDSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.2508854269981384,0.24911457300186157,0.9999999999621422,191.25105917161585,2.2481145730018994
CHFNOK,OK,,2026-03-11 08:00:00+00:00,SELL,0.2546078860759735,0.2453921139240265,0.0,268.3184396377144,2.2453921139240265
GBPNZD,OK,,2026-03-11 08:00:00+00:00,SELL,0.26123547554016113,0.23876452445983887,0.0,28.952168004889142,2.238764524459839
SEKJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.24872305989265442,0.2512769401073456,12.999999999998124,3.7376969894146974,2.2382769401073475
GBPSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.26447439193725586,0.23552560806274414,0.0,177.53572411264417,2.235525608062744
EURSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.2716521918773651,0.2283478081226349,0.0,131.8080142553163,2.228347808122635
NZDSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.27174434065818787,0.22825565934181213,0.0,91.26975793713146,2.228255659341812
GBPCAD,OK,,2026-03-11 08:00:00+00:00,SELL,0.2739935517311096,0.22600644826889038,0.0,22.472561262590297,2.2260064482688904
NZDDKK,OK,,2026-03-11 08:00:00+00:00,SELL,0.27501380443573,0.22498619556427002,0.0,47.932302389213525,2.22498619556427
EURNZD,OK,,2026-03-11 08:00:00+00:00,SELL,0.27502408623695374,0.22497591376304626,0.0,24.095266212601917,2.2249759137630463
NZDJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.27914199233055115,0.22085800766944885,1.0000000000047748,14.802142479934558,2.219858007669444
CADJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.28334474563598633,0.21665525436401367,1.0000000000047748,16.878168211269976,2.215655254364009
USDJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.28421881794929504,0.21578118205070496,0.9999999999763531,21.303558880724456,2.2147811820507286
EURJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.2842226028442383,0.21577739715576172,1.0000000000047748,17.64550719710116,2.214777397155757
GBPJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.284222811460495,0.215777188539505,1.0000000000047748,23.56553117696111,2.2147771885395002
CHFJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.2842250466346741,0.21577495336532593,1.0000000000047748,24.20409625916368,2.214774953365321
CHFDKK,OK,,2026-03-11 08:00:00+00:00,SELL,0.2854999899864197,0.21450001001358032,0.0,60.65643231491238,2.2145000100135803
EURAUD,OK,,2026-03-11 08:00:00+00:00,SELL,0.28766506910324097,0.21233493089675903,0.0,29.048219814024794,2.212334930896759
GBPAUD,OK,,2026-03-11 08:00:00+00:00,SELL,0.2905774712562561,0.2094225287437439,0.0,33.6755685524068,2.209422528743744
NOKJPY,OK,,2026-03-11 08:00:00+00:00,SELL,0.2844734787940979,0.2155265212059021,7.999999999999119,4.188446491506912,2.207526521205903
GBPUSD,OK,,2026-03-11 08:00:00+00:00,SELL,0.29668015241622925,0.20331984758377075,1.0000000000065512,17.858857679670287,2.202319847583764
EURCAD,OK,,2026-03-11 08:00:00+00:00,SELL,0.30385249853134155,0.19614750146865845,0.0,18.637836537733726,2.1961475014686584
USDCAD,OK,,2026-03-11 08:00:00+00:00,SELL,0.3138127326965332,0.1861872673034668,1.0000000000065512,12.378235099750517,2.1851872673034602
AUDDKK,OK,,2026-03-12 00:00:00+00:00,SELL,0.3483908176422119,0.15160918235778809,0.0,76.8047082383652,2.151609182357788
DKKSEK,OK,,2026-03-11 08:00:00+00:00,SELL,0.34988880157470703,0.15011119842529297,0.0,18.91561027207713,2.150111198425293
NOKSEK,OK,,2026-03-11 08:00:00+00:00,BUY,0.6310849189758301,0.13108491897583008,0.0,22.27370030861503,2.13108491897583
AUDCAD,OK,,2026-03-11 08:00:00+00:00,SELL,0.3742476999759674,0.1257523000240326,0.0,22.21177748944629,2.1257523000240326
NZDCAD,OK,,2026-03-11 08:00:00+00:00,SELL,0.38921818137168884,0.11078181862831116,0.0,13.252148300604766,2.110781818628311
EURUSD,OK,,2026-03-12 00:00:00+00:00,SELL,0.3915126919746399,0.10848730802536011,1.0000000000065512,16.456770560377738,2.1074873080253536
NZDUSD,OK,,2026-03-11 08:00:00+00:00,SELL,0.4012879729270935,0.0987120270729065,1.0000000000065512,11.612827051440856,2.0977120270729
EURCHF,OK,,2026-03-11 08:00:00+00:00,SELL,0.40320882201194763,0.09679117798805237,0.0,7.291416264965558,2.0967911779880524
NZDCHF,OK,,2026-03-11 08:00:00+00:00,SELL,0.41500142216682434,0.08499857783317566,0.0,6.870145497770353,2.0849985778331757
AUDUSD,OK,,2026-03-11 08:00:00+00:00,SELL,0.41542789340019226,0.08457210659980774,0.9999999999954489,18.03185428735153,2.0835721065998123
AUDCHF,OK,,2026-03-11 08:00:00+00:00,SELL,0.4219060242176056,0.07809397578239441,0.0,11.206481358557584,2.0780939757823944
EURGBP,OK,,2026-03-11 08:00:00+00:00,SELL,0.4226883053779602,0.0773116946220398,0.0,5.241423015408965,2.07731169462204
CADCHF,OK,,2026-03-11 08:00:00+00:00,SELL,0.4449368417263031,0.0550631582736969,0.0,7.059430256155834,2.055063158273697
GBPCHF,OK,,2026-03-11 08:00:00+00:00,HOLD,0.4566289782524109,0.04337102174758911,0.0,8.78459685081211,0.04337102174758911
USDCHF,OK,,2026-03-11 08:00:00+00:00,HOLD,0.48071733117103577,0.019282668828964233,1.0000000000065512,10.530475587727807,0.018282668828957682
AUDNZD,OK,,2026-03-11 08:00:00+00:00,HOLD,0.4961916506290436,0.003808349370956421,0.0,15.978740361720241,0.003808349370956421
CADDKK,SKIP,bar_tua:22064.7h,2023-09-04 17:00:00+00:00,HOLD,,,,,
CADSEK,SKIP,bar_tua:22064.7h,2023-09-04 17:00:00+00:00,HOLD,,,,,
DKKJPY,SKIP,bar_tua:18324.7h,2024-02-07 13:00:00+00:00,HOLD,,,,,
DKKNOK,SKIP,bar_tua:22064.7h,2023-09-04 17:00:00+00:00,HOLD,,,,,
NOKDKK,SKIP,bar_tua:18324.7h,2024-02-07 13:00:00+00:00,HOLD,,,,,
NZDNOK,SKIP,bar_tua:22064.7h,2023-09-04 17:00:00+00:00,HOLD,,,,,
SEKNOK,SKIP,bar_tua:23419.7h,2023-07-10 06:00:00+00:00,HOLD,,,,,
