symbol,status,reason,initial_balance,final_balance,net_profit,return_pct,total_trades,signals_generated,wins,losses,win_rate,avg_win,avg_loss,gross_profit,gross_loss,profit_factor,max_drawdown_pct,sharpe_ratio,recovery_factor,trailing_stop_enabled,circuit_breaker_limit_pct,signals_skipped_circuit,signals_skipped_consec,max_consecutive_losses_guard,risk_profile,stop_loss_pips,take_profit_pips,risk_reward_ratio,atr_dynamic_sl_tp,high_low_col
EURUSD,OK,,100.0,144703.7288,144603.7288,144603.73,2042,5657,1462,580,0.716,128.4487,-74.4626,187792.0257,43188.2969,4.3482,3.99,3.8072,36203.0533,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
GBPUSD,OK,,100.0,739628.0567,739528.0567,739528.06,2423,6516,1661,762,0.6855,610.74,-360.7756,1014439.0777,274911.021,3.6901,3.68,3.3296,200870.1626,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDJPY,OK,,100.0,2671867.7433,2671767.7433,2671767.74,2739,6271,1847,892,0.6743,2062.9243,-1276.2931,3810221.1585,1138453.4151,3.3468,5.4,3.1865,494502.31,False,35.0,0,25,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDCHF,OK,,100.0,12637.8909,12537.8909,12537.89,2209,5698,1394,815,0.6311,12.7906,-6.4935,17830.0658,5292.175,3.3691,4.31,3.8742,2912.1318,False,35.0,0,26,8,SEDANG,15.0,22.5,1.5,True,m15_high
AUDUSD,OK,,100.0,63853.7295,63753.7295,63753.73,2251,6200,1536,715,0.6824,53.0231,-24.7408,81443.4273,17689.6978,4.604,2.97,3.8387,21434.8955,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDCAD,OK,,100.0,48125.3817,48025.3817,48025.38,2318,6210,1574,744,0.679,40.8559,-21.8841,64307.1269,16281.7451,3.9496,3.09,3.8951,15537.7053,False,35.0,0,8,8,SEDANG,15.0,22.5,1.5,True,m15_high
NZDUSD,OK,,100.0,15054.7335,14954.7335,14954.73,2011,5607,1375,636,0.6837,14.0782,-6.9226,19357.5185,4402.785,4.3967,3.67,4.2306,4070.1323,False,35.0,0,6,8,SEDANG,15.0,22.5,1.5,True,m15_high
XAUUSD,OK,,100.0,43047353.3262,43047253.3262,43047253.33,2669,5972,1831,838,0.686,30261.5374,-14751.3385,55408875.0243,12361621.698,4.4823,11.13,3.8763,3868956.2906,False,35.0,0,10,8,SEDANG,15.0,22.5,1.5,True,m15_high
XAGUSD,OK,,100.0,8100115.3835,8100015.3835,8100015.38,2850,6343,1841,1009,0.646,7196.9454,-5103.6285,13249576.5344,5149561.1509,2.573,15.38,2.8123,526588.6802,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
EURJPY,OK,,100.0,246482.3083,246382.3083,246382.31,2611,6626,1588,1023,0.6082,215.0415,-92.9655,341485.9647,95103.6564,3.5907,5.57,3.3408,44217.6419,False,35.0,0,21,8,SEDANG,15.0,22.5,1.5,True,m15_high
GBPJPY,OK,,100.0,274387.9006,274287.9006,274287.9,2539,5899,1540,999,0.6065,273.124,-146.4695,420610.9225,146323.0219,2.8745,6.95,3.0698,39463.8342,False,35.0,0,16,8,SEDANG,15.0,22.5,1.5,True,m15_high
AUDJPY,OK,,100.0,325970.5687,325870.5687,325870.57,2899,7303,1793,1106,0.6185,257.0449,-122.0714,460881.4975,135010.9288,3.4137,8.27,3.0691,39418.2379,False,35.0,0,31,8,SEDANG,15.0,22.5,1.5,True,m15_high
NZDJPY,OK,,100.0,346437.6281,346337.6281,346337.63,2583,6402,1600,983,0.6194,299.8076,-135.6608,479692.2109,133354.5828,3.5971,16.61,3.4174,20849.5912,False,35.0,0,17,8,SEDANG,15.0,22.5,1.5,True,m15_high
CADJPY,OK,,100.0,73120.5973,73020.5973,73020.6,2641,6502,1653,988,0.6259,66.4603,-37.2857,109858.9175,36838.3202,2.9822,4.67,3.3897,15622.4326,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
