symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
GBPCAD,2025-12-18 03:00:00+00:00,2025-12-18 14:00:00+00:00,SELL,1.8421349999999999,1.8461349999999999,1.8461349999999999,1.8341349999999998,0.01,SL,-4.0000000000000036,9996.0,0.25529173016548157
EURAUD,2025-12-18 03:00:00+00:00,2025-12-18 15:00:00+00:00,SELL,1.7782850000000001,1.770285,1.7822850000000001,1.770285,0.01,TP,8.000000000000007,10004.0,0.24813847243785858
GBPSGD,2025-12-18 03:00:00+00:00,2025-12-18 15:00:00+00:00,SELL,1.7259600000000002,1.7299600000000002,1.7299600000000002,1.7179600000000002,0.01,SL,-4.0000000000000036,10000.0,0.25586065649986267
GBPCAD,2025-12-18 15:00:00+00:00,2025-12-18 19:00:00+00:00,SELL,1.8493549999999999,1.8413549999999999,1.8533549999999999,1.8413549999999999,0.01,TP,8.000000000000007,10008.0,0.25130513310432434
GBPCAD,2025-12-18 19:00:00+00:00,2025-12-19 11:00:00+00:00,SELL,1.842565,1.846565,1.846565,1.834565,0.01,SL,-4.0000000000000036,10004.0,0.2468140572309494
GBPAUD,2025-12-18 14:00:00+00:00,2025-12-19 16:00:00+00:00,SELL,2.0275849999999997,2.0195849999999997,2.0315849999999998,2.0195849999999997,0.01,TP,8.000000000000007,10012.0,0.2513578236103058
GBPAUD,2025-12-19 16:00:00+00:00,2025-12-19 19:00:00+00:00,SELL,2.018645,2.022645,2.022645,2.010645,0.01,SL,-4.0000000000000036,10008.0,0.24953623116016388
GBPCAD,2025-12-19 11:00:00+00:00,2025-12-22 09:00:00+00:00,SELL,1.845585,1.849585,1.849585,1.837585,0.01,SL,-4.0000000000000036,10004.0,0.23945735394954681
EURAUD,2025-12-18 15:00:00+00:00,2025-12-22 18:00:00+00:00,SELL,1.77368,1.76568,1.77768,1.76568,0.01,TP,8.000000000000007,10012.0,0.2567049562931061
CHFSGD,2025-12-22 09:00:00+00:00,2025-12-23 04:00:00+00:00,SELL,1.6249850000000001,1.6289850000000001,1.6289850000000001,1.6169850000000001,0.01,SL,-4.0000000000000036,10008.0,0.24690446257591248
GBPCAD,2025-12-22 18:00:00+00:00,2025-12-23 07:00:00+00:00,SELL,1.849245,1.853245,1.853245,1.841245,0.01,SL,-4.0000000000000036,10004.0,0.2461566925048828
GBPAUD,2025-12-19 19:00:00+00:00,2025-12-23 17:00:00+00:00,SELL,2.02198,2.01398,2.02598,2.01398,0.01,TP,8.000000000000007,10012.0,0.24986684322357178
GBPCAD,2025-12-23 07:00:00+00:00,2025-12-24 00:00:00+00:00,SELL,1.852785,1.844785,1.856785,1.844785,0.01,TP,8.000000000000007,10020.0,0.24744126200675964
EURCAD,2025-12-23 17:00:00+00:00,2025-12-29 00:00:00+00:00,SELL,1.613685,1.605685,1.617685,1.605685,0.01,TP,8.000000000000007,10028.0,0.26233971118927
GBPUSD,2025-12-24 00:00:00+00:00,2025-12-31 10:00:00+00:00,SELL,1.35128,1.34328,1.35528,1.34328,0.01,TP,8.000000000000007,10036.0,0.27788981795310974
GBPCAD,2025-12-31 10:00:00+00:00,2025-12-31 15:00:00+00:00,SELL,1.840655,1.844655,1.844655,1.832655,0.01,SL,-4.0000000000000036,10032.0,0.2444373220205307
GBPSGD,2025-12-23 04:00:00+00:00,2025-12-31 17:00:00+00:00,SELL,1.734105,1.726105,1.738105,1.726105,0.01,TP,8.000000000000007,10040.0,0.250936895608902
EURAUD,2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,SELL,1.7568400000000002,1.7608400000000002,1.7608400000000002,1.7488400000000002,0.01,SL,-4.0000000000000036,10036.0,0.24031929671764374
EURAUD,2025-12-31 17:00:00+00:00,2026-01-02 09:00:00+00:00,SELL,1.76085,1.75285,1.76485,1.75285,0.01,TP,8.000000000000007,10044.0,0.24115367233753204
GBPAUD,2025-12-31 17:00:00+00:00,2026-01-02 10:00:00+00:00,SELL,2.016715,2.008715,2.020715,2.008715,0.01,TP,8.000000000000007,10052.0,0.24341899156570435
GBPAUD,2026-01-02 10:00:00+00:00,2026-01-02 15:00:00+00:00,SELL,2.007225,2.011225,2.011225,1.999225,0.01,SL,-4.0000000000000036,10048.0,0.24739883840084076
EURAUD,2026-01-02 09:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,1.7521600000000002,1.7561600000000002,1.7561600000000002,1.7441600000000002,0.01,SL,-4.0000000000000036,10044.0,0.23637886345386505
GBPAUD,2026-01-02 15:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,2.012135,2.016135,2.016135,2.0041349999999998,0.01,SL,-4.0000000000000036,10040.0,0.2369108498096466
