symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
GBPJPY,2025-12-18 02:00:00+00:00,2025-12-18 07:00:00+00:00,SELL,207.964,208.364,208.364,207.164,0.01,SL,-400.0000000000057,9599.999999999995,0.27768954634666443
GBPCAD,2025-12-18 02:00:00+00:00,2025-12-18 14:00:00+00:00,SELL,1.8430849999999999,1.8470849999999999,1.8470849999999999,1.8350849999999999,0.01,SL,-4.0000000000000036,9595.999999999995,0.2564322054386139
GBPJPY,2025-12-18 07:00:00+00:00,2025-12-18 14:00:00+00:00,SELL,208.28900000000002,208.68900000000002,208.68900000000002,207.489,0.01,SL,-400.0000000000057,9195.999999999989,0.2779051661491394
GBPAUD,2025-12-18 14:00:00+00:00,2025-12-19 16:00:00+00:00,SELL,2.0275849999999997,2.0195849999999997,2.0315849999999998,2.0195849999999997,0.01,TP,8.000000000000007,9203.999999999989,0.2513578236103058
GBPCAD,2025-12-19 16:00:00+00:00,2025-12-19 19:00:00+00:00,SELL,1.8395849999999998,1.8435849999999998,1.8435849999999998,1.8315849999999998,0.01,SL,-4.0000000000000036,9199.999999999989,0.2382996529340744
GBPCAD,2025-12-19 19:00:00+00:00,2025-12-22 03:00:00+00:00,SELL,1.843055,1.8470550000000001,1.8470550000000001,1.835055,0.01,SL,-4.0000000000000036,9195.999999999989,0.24362297356128693
EURAUD,2025-12-18 14:00:00+00:00,2025-12-22 18:00:00+00:00,SELL,1.77336,1.76536,1.77736,1.76536,0.01,TP,8.000000000000007,9203.999999999989,0.25603818893432617
GBPCAD,2025-12-22 03:00:00+00:00,2025-12-23 02:00:00+00:00,SELL,1.848045,1.852045,1.852045,1.840045,0.01,SL,-4.0000000000000036,9199.999999999989,0.2534618079662323
GBPAUD,2025-12-22 18:00:00+00:00,2025-12-24 00:00:00+00:00,SELL,2.0212149999999998,2.0132149999999998,2.0252149999999998,2.0132149999999998,0.01,TP,8.000000000000007,9207.999999999989,0.24733170866966248
EURCAD,2025-12-18 02:00:00+00:00,2025-12-24 16:00:00+00:00,SELL,1.61818,1.61018,1.62218,1.61018,0.01,TP,8.000000000000007,9215.999999999989,0.2605275809764862
GBPAUD,2025-12-24 16:00:00+00:00,2025-12-26 00:00:00+00:00,SELL,2.012595,2.016595,2.016595,2.004595,0.01,SL,-4.0000000000000036,9211.999999999989,0.24961282312870026
USDJPY,2025-12-26 00:00:00+00:00,2025-12-26 02:00:00+00:00,SELL,155.8905,156.2905,156.2905,155.0905,0.01,SL,-400.0000000000057,8811.999999999984,0.2833937108516693
GBPCAD,2025-12-23 02:00:00+00:00,2025-12-26 09:00:00+00:00,SELL,1.851045,1.843045,1.855045,1.843045,0.01,TP,8.000000000000007,8819.999999999984,0.2461710125207901
GBPAUD,2025-12-26 09:00:00+00:00,2025-12-29 13:00:00+00:00,SELL,2.0115149999999997,2.0155149999999997,2.0155149999999997,2.0035149999999997,0.01,SL,-4.0000000000000036,8815.999999999984,0.2451406717300415
GBPUSD,2025-12-24 00:00:00+00:00,2025-12-31 10:00:00+00:00,SELL,1.35128,1.34328,1.35528,1.34328,0.01,TP,8.000000000000007,8823.999999999984,0.27788978815078735
GBPCAD,2025-12-31 10:00:00+00:00,2025-12-31 15:00:00+00:00,SELL,1.840655,1.844655,1.844655,1.832655,0.01,SL,-4.0000000000000036,8819.999999999984,0.2444373220205307
