symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
GBPCAD,2025-12-18 02:00:00+00:00,2025-12-18 14:00:00+00:00,SELL,1.8430849999999999,1.8470849999999999,1.8470849999999999,1.8350849999999999,0.01,SL,-4.0000000000000036,9996.0,0.2564322054386139
EURAUD,2025-12-18 02:00:00+00:00,2025-12-18 15:00:00+00:00,SELL,1.7781950000000002,1.7701950000000002,1.7821950000000002,1.7701950000000002,0.01,TP,8.000000000000007,10004.0,0.24912165105342865
GBPCAD,2025-12-18 15:00:00+00:00,2025-12-18 19:00:00+00:00,SELL,1.8493549999999999,1.8413549999999999,1.8533549999999999,1.8413549999999999,0.01,TP,8.000000000000007,10012.0,0.25130513310432434
GBPCAD,2025-12-18 19:00:00+00:00,2025-12-19 11:00:00+00:00,SELL,1.842565,1.846565,1.846565,1.834565,0.01,SL,-4.0000000000000036,10008.0,0.2468140572309494
GBPAUD,2025-12-18 14:00:00+00:00,2025-12-19 16:00:00+00:00,SELL,2.0275849999999997,2.0195849999999997,2.0315849999999998,2.0195849999999997,0.01,TP,8.000000000000007,10016.0,0.2513578236103058
GBPAUD,2025-12-19 16:00:00+00:00,2025-12-19 19:00:00+00:00,SELL,2.018645,2.022645,2.022645,2.010645,0.01,SL,-4.0000000000000036,10012.0,0.24953623116016388
GBPCAD,2025-12-19 11:00:00+00:00,2025-12-22 09:00:00+00:00,SELL,1.845585,1.849585,1.849585,1.837585,0.01,SL,-4.0000000000000036,10008.0,0.23945735394954681
GBPAUD,2025-12-19 19:00:00+00:00,2025-12-23 17:00:00+00:00,SELL,2.02198,2.01398,2.02598,2.01398,0.01,TP,8.000000000000007,10016.0,0.24986684322357178
EURAUD,2025-12-22 09:00:00+00:00,2025-12-24 00:00:00+00:00,SELL,1.7663,1.7583,1.7703,1.7583,0.01,TP,8.000000000000007,10024.0,0.23996049165725708
EURCAD,2025-12-18 02:00:00+00:00,2025-12-24 16:00:00+00:00,SELL,1.61818,1.61018,1.62218,1.61018,0.01,TP,8.000000000000007,10032.0,0.2605275809764862
GBPAUD,2025-12-24 16:00:00+00:00,2025-12-26 00:00:00+00:00,SELL,2.012595,2.016595,2.016595,2.004595,0.01,SL,-4.0000000000000036,10028.0,0.24961282312870026
USDJPY,2025-12-26 00:00:00+00:00,2025-12-26 02:00:00+00:00,SELL,155.8905,156.2905,156.2905,155.0905,0.01,SL,-400.0000000000057,9627.999999999995,0.2833937108516693
GBPCAD,2025-12-23 17:00:00+00:00,2025-12-29 00:00:00+00:00,SELL,1.848175,1.840175,1.852175,1.840175,0.01,TP,8.000000000000007,9635.999999999995,0.2531713843345642
GBPUSD,2025-12-24 00:00:00+00:00,2025-12-31 10:00:00+00:00,SELL,1.35128,1.34328,1.35528,1.34328,0.01,TP,8.000000000000007,9643.999999999995,0.27788978815078735
GBPCAD,2025-12-31 10:00:00+00:00,2025-12-31 15:00:00+00:00,SELL,1.840655,1.844655,1.844655,1.832655,0.01,SL,-4.0000000000000036,9639.999999999995,0.2444373220205307
USDJPY,2025-12-29 00:00:00+00:00,2025-12-31 16:00:00+00:00,SELL,156.466,156.866,156.866,155.666,0.01,SL,-400.0000000000057,9239.999999999989,0.28421810269355774
EURAUD,2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,SELL,1.7568400000000002,1.7608400000000002,1.7608400000000002,1.7488400000000002,0.01,SL,-4.0000000000000036,9235.999999999989,0.24031929671764374
GBPAUD,2025-12-31 16:00:00+00:00,2025-12-31 17:00:00+00:00,SELL,2.012655,2.016655,2.016655,2.004655,0.01,SL,-4.0000000000000036,9231.999999999989,0.24416735768318176
EURAUD,2025-12-31 17:00:00+00:00,2026-01-02 09:00:00+00:00,SELL,1.76085,1.75285,1.76485,1.75285,0.01,TP,8.000000000000007,9239.999999999989,0.24115367233753204
GBPAUD,2025-12-31 17:00:00+00:00,2026-01-02 10:00:00+00:00,SELL,2.016715,2.008715,2.020715,2.008715,0.01,TP,8.000000000000007,9247.999999999989,0.24341899156570435
GBPAUD,2026-01-02 10:00:00+00:00,2026-01-02 15:00:00+00:00,SELL,2.007225,2.011225,2.011225,1.999225,0.01,SL,-4.0000000000000036,9243.999999999989,0.24739885330200195
EURAUD,2026-01-02 09:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,1.7521600000000002,1.7561600000000002,1.7561600000000002,1.7441600000000002,0.01,SL,-4.0000000000000036,9239.999999999989,0.23637886345386505
GBPAUD,2026-01-02 15:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,2.012135,2.016135,2.016135,2.0041349999999998,0.01,SL,-4.0000000000000036,9235.999999999989,0.2369108498096466
EURAUD,2026-01-02 17:00:00+00:00,2026-01-05 04:00:00+00:00,SELL,1.75674,1.74874,1.76074,1.74874,0.01,TP,8.000000000000007,9243.999999999989,0.22715134918689728
GBPCAD,2026-01-05 04:00:00+00:00,2026-01-05 10:00:00+00:00,SELL,1.846355,1.850355,1.850355,1.838355,0.01,SL,-4.0000000000000036,9239.999999999989,0.2414797842502594
GBPCAD,2026-01-05 10:00:00+00:00,2026-01-05 13:00:00+00:00,SELL,1.8501649999999998,1.8541649999999998,1.8541649999999998,1.8421649999999998,0.01,SL,-4.0000000000000036,9235.999999999989,0.24307656288146973
EURAUD,2026-01-05 13:00:00+00:00,2026-01-06 16:00:00+00:00,SELL,1.74761,1.73961,1.7516100000000001,1.73961,0.01,TP,8.000000000000007,9243.999999999989,0.2436724156141281
EURCAD,2026-01-02 17:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,1.612385,1.616385,1.616385,1.604385,0.01,SL,-4.0000000000000036,9239.999999999989,0.23661905527114868
GBPAUD,2026-01-06 16:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,2.008825,2.000825,2.012825,2.000825,0.01,TP,8.000000000000007,9247.999999999989,0.24739716947078705
